Pengamatan	Perlakuan
27,67	PK0
36,01	PK1
34,49	PK2
33,72	PK3
33,67	PK4
38,76	PK5
33,55	PK6
35,27	PK7
35,63	PK8
15,44	PK0
16,89	PK1
15,66	PK2
15,89	PK3
18,33	PK4
19,77	PK5
16,11	PK6
17,11	PK7
19	PK8
176,39	PK0
198,55	PK1
186,51	PK2
192,59	PK3
325,71	PK4
354,98	PK5
213,33	PK6
204,61	PK7
335,14	PK8
47,8	PK0
44,3	PK1
44,66	PK2
44,3	PK3
45,2	PK4
48,43	PK5
47,1	PK6
44,66	PK7
47	PK8
